  0)               |                  unmap_single_vma() {
  0)   0.100 us    |                    uprobe_munmap();
  0)               |                    unmap_page_range() {
  0)   0.102 us    |                      _raw_spin_lock();
  0)   0.096 us    |                      flush_tlb_batched_pending();
  0)   0.094 us    |                      vm_normal_page();
  0)   0.107 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.100 us    |                        lock_page_memcg();
  0)   0.098 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.099 us    |                            rcu_read_unlock_strict();
  0)   0.286 us    |                          }
  0)   0.473 us    |                        }
  0)   1.054 us    |                      }
  0)   0.099 us    |                      __tlb_remove_page_size();
  0)   0.099 us    |                      vm_normal_page();
  0)   0.112 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.099 us    |                        lock_page_memcg();
  0)   0.098 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.098 us    |                            rcu_read_unlock_strict();
  0)   0.286 us    |                          }
  0)   0.470 us    |                        }
  0)   1.043 us    |                      }
  0)   0.112 us    |                      __tlb_remove_page_size();
  0)   0.100 us    |                      vm_normal_page();
  0)   0.107 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.100 us    |                        lock_page_memcg();
  0)   0.097 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.101 us    |                            rcu_read_unlock_strict();
  0)   0.293 us    |                          }
  0)   0.497 us    |                        }
  0)   1.075 us    |                      }
  0)   0.101 us    |                      __tlb_remove_page_size();
  0)   0.100 us    |                      vm_normal_page();
  0)   0.108 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.100 us    |                        lock_page_memcg();
  0)   0.098 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.099 us    |                            rcu_read_unlock_strict();
  0)   0.292 us    |                          }
  0)   0.481 us    |                        }
  0)   1.063 us    |                      }
  0)   0.096 us    |                      __tlb_remove_page_size();
  0)               |                      __cond_resched() {
  0)   0.101 us    |                        rcu_all_qs();
  0)   0.288 us    |                      }
  0)               |                      __cond_resched() {
  0)   0.097 us    |                        rcu_all_qs();
  0)   0.287 us    |                      }
  0)   8.334 us    |                    }
  0)   8.827 us    |                  }
  0)               |                  unmap_single_vma() {
  0)   0.111 us    |                    uprobe_munmap();
  0)               |                    unmap_page_range() {
  0)   0.101 us    |                      _raw_spin_lock();
  0)   0.096 us    |                      flush_tlb_batched_pending();
  0)   0.096 us    |                      vm_normal_page();
  0)               |                      page_remove_rmap() {
  0)   0.102 us    |                        lock_page_memcg();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.101 us    |                            rcu_read_unlock_strict();
  0)   0.315 us    |                          }
  0)   0.505 us    |                        }
