  0)   1.049 us    |                      } /* page_remove_rmap */
  0)   0.102 us    |                      __tlb_remove_page_size();
  0)   0.099 us    |                      vm_normal_page();
  0)   0.109 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.099 us    |                        lock_page_memcg();
  0)   0.097 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.100 us    |                            rcu_read_unlock_strict();
  0)   0.288 us    |                          }
  0)   0.475 us    |                        }
  0)   1.062 us    |                      }
  0)   0.101 us    |                      __tlb_remove_page_size();
  0)   0.097 us    |                      vm_normal_page();
  0)   0.102 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.100 us    |                        lock_page_memcg();
  0)   0.097 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.100 us    |                            rcu_read_unlock_strict();
  0)   0.288 us    |                          }
  0)   0.479 us    |                        }
  0)   1.056 us    |                      }
  0)   0.100 us    |                      __tlb_remove_page_size();
  0)               |                      __cond_resched() {
  0)   0.101 us    |                        rcu_all_qs();
  0)   0.290 us    |                      }
  0)   0.106 us    |                      _raw_spin_lock();
  0)   0.100 us    |                      flush_tlb_batched_pending();
  0)   0.099 us    |                      vm_normal_page();
  0)   0.135 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.101 us    |                        lock_page_memcg();
  0)   0.100 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.100 us    |                            rcu_read_unlock_strict();
  0)   0.288 us    |                          }
  0)   0.495 us    |                        }
  0)   1.080 us    |                      }
  0)   0.100 us    |                      __tlb_remove_page_size();
  0)   0.114 us    |                      vm_normal_page();
  0)   0.114 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.101 us    |                        lock_page_memcg();
  0)   0.099 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.101 us    |                            rcu_read_unlock_strict();
  0)   0.290 us    |                          }
  0)   0.477 us    |                        }
  0)   1.062 us    |                      }
  0)   0.100 us    |                      __tlb_remove_page_size();
  0)   0.100 us    |                      vm_normal_page();
  0)   0.130 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.102 us    |                        lock_page_memcg();
  0)   0.098 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.096 us    |                            rcu_read_unlock_strict();
  0)   0.286 us    |                          }
  0)   0.471 us    |                        }
  0)   1.049 us    |                      }
  0)   0.100 us    |                      __tlb_remove_page_size();
  0)   0.104 us    |                      vm_normal_page();
  0)   0.100 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.101 us    |                        lock_page_memcg();
  0)   0.097 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.099 us    |                            rcu_read_unlock_strict();
  0)   0.290 us    |                          }
  0)   0.477 us    |                        }
  0)   1.060 us    |                      }
  0)   0.097 us    |                      __tlb_remove_page_size();
  0)   0.100 us    |                      vm_normal_page();
  0)   0.111 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.100 us    |                        lock_page_memcg();
  0)   0.096 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.097 us    |                            rcu_read_unlock_strict();
  0)   0.287 us    |                          }
  0)   0.470 us    |                        }
  0)   1.044 us    |                      }
  0)   0.098 us    |                      __tlb_remove_page_size();
  0)   0.097 us    |                      vm_normal_page();
  0)   0.111 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.101 us    |                        lock_page_memcg();
  0)   0.098 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.100 us    |                            rcu_read_unlock_strict();
  0)   0.292 us    |                          }
  0)   0.479 us    |                        }
  0)   1.061 us    |                      }
  0)   0.098 us    |                      __tlb_remove_page_size();
  0)   0.099 us    |                      vm_normal_page();
  0)   0.119 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.102 us    |                        lock_page_memcg();
  0)   0.096 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.098 us    |                            rcu_read_unlock_strict();
