  0)   1.161 us    |                      } /* page_remove_rmap */
  0)   0.099 us    |                      __tlb_remove_page_size();
  1)   0.253 us    |                          __msecs_to_jiffies();
  0)   0.099 us    |                      vm_normal_page();
  0)   0.099 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  1)   0.752 us    |                        }
  0)   0.101 us    |                        lock_page_memcg();
  0)   0.100 us    |                        PageHuge();
  1)   0.270 us    |                        idle_cpu();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.101 us    |                            rcu_read_unlock_strict();
  0)   0.291 us    |                          }
  0)   0.475 us    |                        }
  0)   1.060 us    |                      }
  0)   0.098 us    |                      __tlb_remove_page_size();
  1)   0.632 us    |                        idle_cpu();
  0)   0.099 us    |                      vm_normal_page();
  0)   0.099 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.101 us    |                        lock_page_memcg();
  1)   2.864 us    |                      }
  0)   0.096 us    |                        PageHuge();
  1)   3.918 us    |                    }
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  1)   0.249 us    |                    __msecs_to_jiffies();
  0)   0.099 us    |                            rcu_read_unlock_strict();
  0)   0.291 us    |                          }
  0)   0.474 us    |                        }
  0)   1.051 us    |                      }
  0)   0.101 us    |                      __tlb_remove_page_size();
  1)   0.259 us    |                    __msecs_to_jiffies();
  0)   0.099 us    |                      vm_normal_page();
  0)   0.097 us    |                      mark_page_accessed();
  1)   0.254 us    |                    __msecs_to_jiffies();
  0)               |                      page_remove_rmap() {
  0)   0.100 us    |                        lock_page_memcg();
  0)   0.097 us    |                        PageHuge();
  1)   0.312 us    |                    _raw_spin_trylock();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.100 us    |                            rcu_read_unlock_strict();
  0)   0.290 us    |                          }
  1)   0.243 us    |                    rcu_read_unlock_strict();
  0)   0.479 us    |                        }
  0)   1.064 us    |                      }
  0)   0.097 us    |                      __tlb_remove_page_size();
  0)   0.100 us    |                      vm_normal_page();
  1)   7.495 us    |                  }
  0)   0.099 us    |                      mark_page_accessed();
  1)   0.323 us    |                  idle_cpu();
  0)               |                      page_remove_rmap() {
  0)   0.100 us    |                        lock_page_memcg();
  0)   0.098 us    |                        PageHuge();
  0)               |                        unlock_page_memcg() {
  1)               |                  raw_spin_rq_lock_nested() {
  0)               |                          __unlock_page_memcg() {
  0)   0.100 us    |                            rcu_read_unlock_strict();
  1)   0.445 us    |                    _raw_spin_lock();
  0)   0.289 us    |                          }
  0)   0.475 us    |                        }
  0)   1.072 us    |                      }
  0)   0.098 us    |                      __tlb_remove_page_size();
  0)   0.097 us    |                      vm_normal_page();
  1)   0.910 us    |                  }
  0)   0.098 us    |                      mark_page_accessed();
  1)   0.288 us    |                  update_rq_clock();
  0)               |                      page_remove_rmap() {
  0)   0.101 us    |                        lock_page_memcg();
  0)   0.094 us    |                        PageHuge();
  1)   0.241 us    |                  raw_spin_rq_unlock();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.099 us    |                            rcu_read_unlock_strict();
  0)   0.289 us    |                          }
  1)               |                  rebalance_domains() {
  0)   0.472 us    |                        }
  0)   1.040 us    |                      }
  0)   0.098 us    |                      __tlb_remove_page_size();
  1)   0.266 us    |                    __msecs_to_jiffies();
  0)   0.099 us    |                      vm_normal_page();
  0)   0.103 us    |                      mark_page_accessed();
  1)               |                    load_balance() {
  0)               |                      page_remove_rmap() {
  0)   0.098 us    |                        lock_page_memcg();
  0)   0.100 us    |                        PageHuge();
  1)   0.374 us    |                      idle_cpu();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.099 us    |                            rcu_read_unlock_strict();
  1)               |                      find_busiest_group() {
  0)   0.290 us    |                          }
  0)   0.476 us    |                        }
  0)   1.056 us    |                      }
  0)   0.097 us    |                      __tlb_remove_page_size();
  1)               |                        update_group_capacity() {
  0)   0.114 us    |                      vm_normal_page();
  1)   0.252 us    |                          __msecs_to_jiffies();
  0)   0.101 us    |                      mark_page_accessed();
  0)               |                      page_remove_rmap() {
  0)   0.103 us    |                        lock_page_memcg();
  1)   0.805 us    |                        }
  0)   0.112 us    |                        PageHuge();
  1)   0.268 us    |                        idle_cpu();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.101 us    |                            rcu_read_unlock_strict();
  0)   0.308 us    |                          }
  0)   0.500 us    |                        }
  0)   1.197 us    |                      }
  1)   0.409 us    |                        idle_cpu();
  0)   0.101 us    |                      __tlb_remove_page_size();
  0)   0.100 us    |                      vm_normal_page();
  0)   0.100 us    |                      mark_page_accessed();
  1)   2.802 us    |                      }
  0)               |                      page_remove_rmap() {
  0)   0.100 us    |                        lock_page_memcg();
  0)   0.099 us    |                        PageHuge();
  1)   4.099 us    |                    }
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  1)   0.248 us    |                    __msecs_to_jiffies();
  0)   0.096 us    |                            rcu_read_unlock_strict();
  0)   0.286 us    |                          }
  0)   0.472 us    |                        }
  0)   1.053 us    |                      }
  1)   0.250 us    |                    __msecs_to_jiffies();
  0)   0.100 us    |                      __tlb_remove_page_size();
  0)               |                      __cond_resched() {
  0)   0.100 us    |                        rcu_all_qs();
  1)   0.249 us    |                    __msecs_to_jiffies();
  0)   0.299 us    |                      }
  0)               |                      __cond_resched() {
  0)   0.099 us    |                        rcu_all_qs();
  0)   0.282 us    |                      }
  1)   0.263 us    |                    _raw_spin_trylock();
  0) + 58.662 us   |                    } /* unmap_page_range */
  0) + 59.079 us   |                  } /* unmap_single_vma */
  0)               |                  unmap_single_vma() {
  0)   0.114 us    |                    uprobe_munmap();
  1)   0.280 us    |                    rcu_read_unlock_strict();
  0)               |                    unmap_page_range() {
  0)   0.102 us    |                      _raw_spin_lock();
  0)   0.096 us    |                      flush_tlb_batched_pending();
  1)   7.611 us    |                  }
  0)   0.099 us    |                      vm_normal_page();
  1)   0.325 us    |                  idle_cpu();
  0)               |                      page_remove_rmap() {
  0)   0.101 us    |                        lock_page_memcg();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  1)               |                  raw_spin_rq_lock_nested() {
  0)   0.097 us    |                            rcu_read_unlock_strict();
  0)   0.287 us    |                          }
  1)   0.440 us    |                    _raw_spin_lock();
  0)   0.480 us    |                        }
  0)   0.879 us    |                      }
  0)   0.099 us    |                      __tlb_remove_page_size();
  0)   0.099 us    |                      vm_normal_page();
  1)   0.897 us    |                  }
  0)               |                      page_remove_rmap() {
  0)   0.099 us    |                        lock_page_memcg();
  1)   0.283 us    |                  update_rq_clock();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.099 us    |                            rcu_read_unlock_strict();
  0)   0.292 us    |                          }
  1)   0.241 us    |                  raw_spin_rq_unlock();
  0)   0.486 us    |                        }
  0)   0.883 us    |                      }
  0)   0.096 us    |                      __tlb_remove_page_size();
  0)   0.098 us    |                      vm_normal_page();
  1)               |                  rebalance_domains() {
  0)               |                      page_remove_rmap() {
  1)   0.260 us    |                    __msecs_to_jiffies();
  0)   0.099 us    |                        lock_page_memcg();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.098 us    |                            rcu_read_unlock_strict();
  1)               |                    load_balance() {
  0)   0.289 us    |                          }
  0)   0.474 us    |                        }
  0)   0.869 us    |                      }
  1)   0.248 us    |                      idle_cpu();
  0)   0.098 us    |                      __tlb_remove_page_size();
  0)   0.097 us    |                      vm_normal_page();
  1)               |                      find_busiest_group() {
  0)               |                      page_remove_rmap() {
  0)   0.105 us    |                        lock_page_memcg();
  1)               |                        update_group_capacity() {
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  1)   0.250 us    |                          __msecs_to_jiffies();
  0)   0.101 us    |                            rcu_read_unlock_strict();
  0)   0.290 us    |                          }
  0)   0.497 us    |                        }
  0)   0.901 us    |                      }
  0)   0.099 us    |                      __tlb_remove_page_size();
  1)   0.754 us    |                        }
  0)               |                      __cond_resched() {
  0)   0.098 us    |                        rcu_all_qs();
  1)   0.260 us    |                        idle_cpu();
  0)   0.288 us    |                      }
  0)               |                      __cond_resched() {
  0)   0.099 us    |                        rcu_all_qs();
  0)   0.285 us    |                      }
  0)   6.905 us    |                    }
  0)   7.326 us    |                  }
  1)   0.407 us    |                        idle_cpu();
  0)               |                  unmap_single_vma() {
  0)   0.111 us    |                    uprobe_munmap();
  0)               |                    unmap_page_range() {
  0)   0.103 us    |                      _raw_spin_lock();
  1)   2.773 us    |                      }
  0)   0.099 us    |                      flush_tlb_batched_pending();
  1)   3.811 us    |                    }
  0)   0.101 us    |                      vm_normal_page();
  1)   0.254 us    |                    __msecs_to_jiffies();
  0)               |                      page_remove_rmap() {
  0)   0.105 us    |                        lock_page_memcg();
  0)               |                        __mod_lruvec_page_state() {
  0)               |                          __mod_lruvec_state() {
  1)   0.252 us    |                    __msecs_to_jiffies();
  0)   0.108 us    |                            __mod_node_page_state();
  0)               |                            __mod_memcg_lruvec_state() {
  0)               |                              __mod_memcg_state() {
  0)   0.111 us    |                                cgroup_rstat_updated();
  1)   0.245 us    |                    __msecs_to_jiffies();
  0)   0.313 us    |                              }
  0)   0.525 us    |                            }
  0)   0.945 us    |                          }
  0)   0.096 us    |                          rcu_read_unlock_strict();
  0)   1.342 us    |                        }
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  1)   0.747 us    |                    _raw_spin_trylock();
  0)   0.100 us    |                            rcu_read_unlock_strict();
  0)   0.292 us    |                          }
  0)   0.485 us    |                        }
  0)   2.337 us    |                      }
  0)   0.101 us    |                      __tlb_remove_page_size();
  1)   0.249 us    |                    rcu_read_unlock_strict();
  0)   0.100 us    |                      vm_normal_page();
  0)               |                      page_remove_rmap() {
  0)   0.104 us    |                        lock_page_memcg();
  0)               |                        __mod_lruvec_page_state() {
  1)   8.060 us    |                  }
  0)               |                          __mod_lruvec_state() {
  0)   0.101 us    |                            __mod_node_page_state();
  0)               |                            __mod_memcg_lruvec_state() {
  1)   0.343 us    |                  idle_cpu();
  0)               |                              __mod_memcg_state() {
  0)   0.112 us    |                                cgroup_rstat_updated();
  0)   0.301 us    |                              }
  0)   0.490 us    |                            }
  0)   0.874 us    |                          }
  1)               |                  raw_spin_rq_lock_nested() {
  0)   0.100 us    |                          rcu_read_unlock_strict();
  0)   1.268 us    |                        }
  1)   0.429 us    |                    _raw_spin_lock();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.118 us    |                            rcu_read_unlock_strict();
  0)   0.316 us    |                          }
  0)   0.504 us    |                        }
  0)   2.277 us    |                      }
  0)   0.101 us    |                      __tlb_remove_page_size();
  1)   1.017 us    |                  }
  0)               |                      __cond_resched() {
  0)   0.100 us    |                        rcu_all_qs();
  1)   0.288 us    |                  update_rq_clock();
  0)   0.287 us    |                      }
  0)               |                      __cond_resched() {
  0)   0.104 us    |                        rcu_all_qs();
  0)   0.292 us    |                      }
  1)   0.240 us    |                  raw_spin_rq_unlock();
  0)   7.020 us    |                    }
  0)   7.414 us    |                  }
  0)               |                  unmap_single_vma() {
  0)               |                    unmap_page_range() {
  0)   0.105 us    |                      _raw_spin_lock();
  1)               |                  rebalance_domains() {
  0)   0.099 us    |                      flush_tlb_batched_pending();
  1)   0.410 us    |                    __msecs_to_jiffies();
  0)   0.100 us    |                      vm_normal_page();
  0)               |                      page_remove_rmap() {
  0)   0.103 us    |                        lock_page_memcg();
  0)               |                        unlock_page_memcg() {
  1)               |                    load_balance() {
  0)               |                          __unlock_page_memcg() {
  0)   0.099 us    |                            rcu_read_unlock_strict();
  0)   0.290 us    |                          }
  0)   0.480 us    |                        }
  1)   0.368 us    |                      idle_cpu();
  0)   0.885 us    |                      }
  0)   0.099 us    |                      __tlb_remove_page_size();
  0)   0.099 us    |                      vm_normal_page();
  1)               |                      find_busiest_group() {
  0)               |                      page_remove_rmap() {
  0)   0.098 us    |                        lock_page_memcg();
  1)               |                        update_group_capacity() {
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  1)   0.245 us    |                          __msecs_to_jiffies();
  0)   0.100 us    |                            rcu_read_unlock_strict();
  0)   0.289 us    |                          }
  0)   0.496 us    |                        }
  0)   0.892 us    |                      }
  0)   0.101 us    |                      __tlb_remove_page_size();
  1)   0.728 us    |                        }
  0)   0.101 us    |                      vm_normal_page();
  0)               |                      page_remove_rmap() {
  1)   0.277 us    |                        idle_cpu();
  0)   0.099 us    |                        lock_page_memcg();
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.098 us    |                            rcu_read_unlock_strict();
  0)   0.287 us    |                          }
  0)   0.473 us    |                        }
  0)   0.872 us    |                      }
  1)   0.377 us    |                        idle_cpu();
  0)   0.098 us    |                      __tlb_remove_page_size();
  0)   0.099 us    |                      vm_normal_page();
  0)               |                      page_remove_rmap() {
  0)   0.183 us    |                        lock_page_memcg();
  1)   3.063 us    |                      }
  0)               |                        unlock_page_memcg() {
  0)               |                          __unlock_page_memcg() {
  0)   0.099 us    |                            rcu_read_unlock_strict();
  1)   4.466 us    |                    }
  0)   0.288 us    |                          }
